Gene_ID,Sample_con-1,Sample_con-2,Sample_con-3,Sample_trt-1,Sample_trt-2,Sample_trt-3
pg_10000704,217,190,216,971,1069,1043
pg_10000705,68,75,65,70,59,122
pg_10000706,0,0,5,7,0,0
pg_10000707,2,2,3,2,0,0
pg_10000708,567,532,438,425,355,673
pg_10000709,1521,1271,1405,682,783,666
pg_1000071,75,80,76,153,140,179
pg_10000711,142,109,165,289,294,286
pg_10000712,0,0,0,0,0,0
pg_10000713,199,182,246,396,362,310
pg_10000714,39,76,51,259,351,282
pg_10000715,0,0,0,0,2,0
pg_10000716,2,3,2,2,2,8
pg_10000717,41,30,33,36,45,42
pg_10000718,210,185,209,22,5,36
pg_10000719,16,10,10,16,10,8
pg_10000720,199,127,138,105,90,104
pg_10000721,5,9,6,15,25,13
pg_10000722,566,523,513,697,648,932
pg_10000723,331,316,427,903,866,1013
pg_10000724,0,1,0,5,14,16
pg_10000726,29,26,27,124,17,10
pg_10000727,10,9,6,6,14,10
pg_10000728,0,0,0,0,0,0
pg_10000729,0,0,0,0,0,0
pg_10000730,13,13,10,30,15,25
pg_10000731,618,757,753,1642,1807,1526
pg_10000734,1016,927,1028,404,359,289
pg_10000735,148,104,129,139,127,134
pg_10000736,0,0,0,0,0,4
pg_10000737,25,35,19,195,164,302
pg_10000738,192,43,28,264,10,48
pg_10000739,8,5,4,3,1,6
pg_1000074,139,149,118,717,1053,993
pg_10000740,72,43,46,145,148,118
pg_10000741,214,179,119,193,184,320
pg_10000743,55,45,69,328,393,454
pg_10000744,121,127,119,164,176,164
pg_10000745,59,59,43,203,216,218
pg_10000746,337,247,284,107,159,174
pg_10000747,25,10,19,22,28,16
pg_10000748,27,46,32,49,32,64
pg_10000749,7,6,12,179,234,180
pg_1000075,8,2,7,36,35,25
pg_10000750,48,39,30,124,154,174
pg_10000751,6,4,1,5,6,3
pg_10000752,2,0,3,114,97,181
pg_10000755,0,0,0,0,1,3
pg_10000756,361,478,509,595,543,483
pg_10000757,38,32,34,95,137,100
pg_10000758,8,22,19,70,90,73
pg_1000076,72,50,86,106,142,195
pg_10000762,280,265,260,243,254,219
pg_10000763,20,25,26,166,180,301
pg_10000764,2,0,3,3,1,3
pg_10000765,23,9,11,33,64,53
pg_10000766,127,119,112,115,122,130
pg_10000767,269,318,205,0,0,0
pg_10000769,0,0,0,0,0,0
pg_1000077,43,50,44,112,144,152
pg_10000773,571,579,524,284,243,296
pg_10000774,94,75,112,60,48,40
pg_10000775,502,421,464,228,252,339
pg_10000776,18,17,30,48,32,53
pg_10000777,0,0,0,0,4,2
pg_10000778,100,102,115,61,62,79
pg_10000779,2,3,3,43,45,48
pg_1000078,0,0,0,0,0,0
pg_10000780,0,0,0,0,0,0
pg_10000781,250,264,222,224,247,306
pg_10000782,2,0,3,0,0,0
pg_10000783,2,0,0,11,13,23
pg_10000784,96,79,145,194,208,137
pg_10000785,182,180,166,217,213,228
